Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Nac_Sal_6_1	(1, 0.6328407947762831)	(2, 0.0027839848480238198)	(3, 0.026275936673180997)	(4, 0.0)	(5, 0.0019890887758789045)	(6, 0.0)	(7, 0.0008244736004107728)	(8, 0.0)	(9, 0.0)	(10, 0.0011232066358959317)	(15, 3.327471929908948e-05)	(20, 0.00020778448220824298)	(25, 6.6552982833331e-06)	(30, 0.00046663987468493394)	(35, 0.0010990263654428185)	(40, 0.00035357248566968125)	(45, 0.0008331257671268164)	(50, 0.002051478320745578)	(55, 0.0007640645572447467)	(60, 0.0013046342218862629)	(65, 0.0011735630447009047)	(70, 0.0006584264160738465)	(75, 0.0017568346591262005)	(80, 0.002050306416452346)	(85, 0.0017110368672444503)	(90, 0.00043894991871966713)	(95, 0.0008150623327882296)	(100, 0.0013485116950223445)	(105, 0.0012121025121104912)	(110, 0.0007830189217994293)	(115, 0.0008099106583425848)	(120, 0.0018425012485787694)	(125, 0.0008777248878656688)	(130, 0.0018931548672140523)	(135, 0.0007417320113969288)	(140, 0.00017543065909328526)	(145, 0.000208567303064335)	(150, 0.0)
Nac_Sal_6_2	(1, 1.1410677657774764)	(2, 0.058031110457612056)	(3, 0.00012200730409666143)	(4, 0.002214617428906067)	(5, 0.0017007078752867958)	(6, 0.0003697191033232164)	(7, 0.003183281479612894)	(8, 0.0005804589922174498)	(9, 0.0015971865263562951)	(10, 0.000811163712691137)	(15, 0.0024334911380734106)	(20, 0.0016589508932119256)	(25, 0.0033272536702416465)	(30, 0.0005376162420175929)	(35, 0.003083465978195383)	(40, 0.0030689112071134303)	(45, 0.0024416221796275824)	(50, 0.0048835439050071774)	(55, 0.003512353088032242)	(60, 0.0015246623505680633)	(65, 0.002518689138302683)	(70, 0.0031514711683661347)	(75, 0.0037295076776955936)	(80, 0.0030954005708547488)	(85, 0.005606595231128243)	(90, 0.0029687269658311296)	(95, 0.0014286707967892697)	(100, 0.0038274416555804927)	(105, 0.001841794313057692)	(110, 0.0022111914275124403)	(115, 0.003092913181582058)	(120, 0.0012655942955385753)	(125, 0.0007517529257260686)	(130, 0.0012341035443628984)	(135, 0.0005540895592884084)	(140, 0.12460712127647201)	(145, 5.909318272797508e-06)	(150, 0.0)
Nac_Sal_7_1	(1, 0.6323795482307899)	(2, 0.002860205131931627)	(3, 0.026423572843331068)	(4, 0.0)	(5, 0.0021023078999018088)	(6, 0.0)	(7, 0.0008150251640923678)	(8, 0.0)	(9, 0.0)	(10, 0.001198163161791864)	(15, 3.275334771586151e-05)	(20, 0.00020718586545729231)	(25, 3.808687697381907e-06)	(30, 0.0005035423902438136)	(35, 0.0011466567508159073)	(40, 0.00037879442645082003)	(45, 0.0008733114399367243)	(50, 0.0020853617819574606)	(55, 0.0008090463622522495)	(60, 0.0013544342137557265)	(65, 0.0011970499881364075)	(70, 0.0006991222713863442)	(75, 0.0018607982128346196)	(80, 0.0021919350472403886)	(85, 0.0017894606656159435)	(90, 0.0004284531384617411)	(95, 0.0008463296378905989)	(100, 0.001386654207147734)	(105, 0.001307957958759408)	(110, 0.0008583986044100109)	(115, 0.0008713193922427261)	(120, 0.0019196452934273813)	(125, 0.0008765307374742735)	(130, 0.0019260625286705258)	(135, 0.0007877814112757359)	(140, 0.00017529810582332946)	(145, 0.00019993991555612643)	(150, 0.0)
Nac_Sal_7_2	(1, 1.1442724792128594)	(2, 0.05836951245270854)	(3, 0.0001675752673834775)	(4, 0.002106116428705978)	(5, 0.001732880605897324)	(6, 0.0003161078907461053)	(7, 0.002791651613456568)	(8, 0.0005255769749754522)	(9, 0.0016071991553597159)	(10, 0.0007860803451806761)	(15, 0.0023193940417394953)	(20, 0.0016548157377913684)	(25, 0.003274229339037308)	(30, 0.0005088075230647905)	(35, 0.0030819570712924617)	(40, 0.0030774779646998984)	(45, 0.0024421378448673072)	(50, 0.00492478529954197)	(55, 0.0034718222551543983)	(60, 0.0015323355061716193)	(65, 0.0025671459691059694)	(70, 0.0031891701679586312)	(75, 0.003746253989748312)	(80, 0.0031912547677039375)	(85, 0.005619943636454154)	(90, 0.0030226773824888037)	(95, 0.001541806168265079)	(100, 0.003983133211176535)	(105, 0.0019850866133447912)	(110, 0.002272797241072091)	(115, 0.0031316625853993326)	(120, 0.0013206282051511512)	(125, 0.0007994559735135611)	(130, 0.0013013988451073945)	(135, 0.0005847405808661019)	(140, 0.12385100492731362)	(145, 0.0)	(150, 0.0)
Nac_Sal_8_1	(1, 0.7022615463909946)	(2, 0.0028966319321310657)	(3, 0.028057334405369942)	(4, 0.0)	(5, 0.0019432077536332532)	(6, 0.0)	(7, 0.0007756671282694067)	(8, 0.0)	(9, 0.0)	(10, 0.0012911625739317832)	(15, 2.8279530718155452e-05)	(20, 0.00019392090916327685)	(25, 4.0403484386796675e-06)	(30, 0.0004655118175145185)	(35, 0.0012165712983896388)	(40, 0.00038737062114410046)	(45, 0.0009526505944717776)	(50, 0.00232105062591769)	(55, 0.0008373617022689427)	(60, 0.0013884648631446836)	(65, 0.0012255323560086046)	(70, 0.0007032465794237613)	(75, 0.0019572596348903445)	(80, 0.002293153847474143)	(85, 0.0018311337516598815)	(90, 0.00043200198688172765)	(95, 0.0008604583726215263)	(100, 0.0014761829659064244)	(105, 0.001281918086009778)	(110, 0.0008382769786158313)	(115, 0.0008819932971913972)	(120, 0.0018802373896424451)	(125, 0.0009232120772163531)	(130, 0.0021207732319989616)	(135, 0.0008877305616451529)	(140, 0.0001579337859706865)	(145, 0.0002025470259991645)	(150, 0.0)
Nac_Sal_8_2	(1, 1.219886036723152)	(2, 0.06016268163639585)	(3, 0.0001737171172686692)	(4, 0.0022664023904121725)	(5, 0.0016482926475724889)	(6, 0.0003959134300541763)	(7, 0.003300625228104715)	(8, 0.000589830212121528)	(9, 0.0013856970051896172)	(10, 0.0008225303506023499)	(15, 0.0024748629311345757)	(20, 0.0017217037841618463)	(25, 0.0034282528376681177)	(30, 0.0005483850320014661)	(35, 0.003201254794552235)	(40, 0.0030617051457231116)	(45, 0.002631530195494449)	(50, 0.005119552491996474)	(55, 0.003510070654383645)	(60, 0.0014931183110757896)	(65, 0.0026515957812852224)	(70, 0.003245414572392734)	(75, 0.0038016792010970727)	(80, 0.0032113276704331347)	(85, 0.005793577073014523)	(90, 0.002990035180952594)	(95, 0.0015107344287032343)	(100, 0.0040383628627477025)	(105, 0.0018887160682858615)	(110, 0.002326438464980603)	(115, 0.003192713517268709)	(120, 0.0012973261114499288)	(125, 0.0007766644099568034)	(130, 0.00131686561588387)	(135, 0.0006100835765144749)	(140, 0.12531381535539832)	(145, 8.342905566034524e-06)	(150, 0.0)
Nac_oxy_1_1	(1, 0.8228113087989115)	(2, 0.0028502704227630037)	(3, 0.03385415407925102)	(4, 0.0)	(5, 0.0022786818723031285)	(6, 0.0)	(7, 0.0009858943454240808)	(8, 0.0)	(9, 0.0)	(10, 0.001439329021023794)	(15, 3.60599488209586e-05)	(20, 0.00019337864312606032)	(25, 6.14377740062323e-06)	(30, 0.0004392582735565134)	(35, 0.0012561543369360802)	(40, 0.0003870181570729445)	(45, 0.0010214317478877868)	(50, 0.0025334224510575824)	(55, 0.000948565372585823)	(60, 0.00156044157425206)	(65, 0.0013800991704523758)	(70, 0.0009197642658250364)	(75, 0.0026318034997731086)	(80, 0.003009767356188755)	(85, 0.0027292604727591502)	(90, 0.0007671858860125309)	(95, 0.001389486695952697)	(100, 0.0024739759424302105)	(105, 0.002212475347045835)	(110, 0.0014962882593268837)	(115, 0.0016267852356263992)	(120, 0.0034113843397650767)	(125, 0.0020388259746836938)	(130, 0.004161779942675446)	(135, 0.0021132215871741762)	(140, 0.0006174431036395048)	(145, 0.0007528312559260028)	(150, 0.0)
Nac_oxy_1_2	(1, 1.4044966449286553)	(2, 0.06448976591799307)	(3, 0.00016495508503204463)	(4, 0.0025970835480626565)	(5, 0.0019372632079344776)	(6, 0.00043732278357332767)	(7, 0.0037939669557370266)	(8, 0.0006483118458236172)	(9, 0.001860539912570736)	(10, 0.0009229812432258126)	(15, 0.002746693974021952)	(20, 0.0018850681761846428)	(25, 0.0037956726764663677)	(30, 0.0006354145259134097)	(35, 0.003563347504894331)	(40, 0.0032700083353792543)	(45, 0.0029575004530331675)	(50, 0.0057150702803247895)	(55, 0.0039875401476997105)	(60, 0.0017426187302914985)	(65, 0.00311568618346791)	(70, 0.0037384767300515545)	(75, 0.004992073163430981)	(80, 0.004318210766107625)	(85, 0.007406545495934268)	(90, 0.004897561340298346)	(95, 0.0027356738821981835)	(100, 0.007438587576447789)	(105, 0.0038304455529203094)	(110, 0.005033309224246161)	(115, 0.0070715960147468195)	(120, 0.003162820749520765)	(125, 0.002201958722759836)	(130, 0.0035778636473502456)	(135, 0.0017825328390782202)	(140, 0.15067095291037869)	(145, 2.6967315559607122e-05)	(150, 0.0)
Nac_oxy_2_1	(1, 0.6807931887278479)	(2, 0.0030429637627611013)	(3, 0.027985648053784208)	(4, 0.0)	(5, 0.0020679911778534498)	(6, 0.0)	(7, 0.0007694850894338417)	(8, 0.0)	(9, 0.0)	(10, 0.001225929653848007)	(15, 4.1097499094762e-05)	(20, 0.0001949974190386456)	(25, 2.6234693663122553e-06)	(30, 0.0004617931864986681)	(35, 0.0011897268208760246)	(40, 0.0003745924906318619)	(45, 0.0008988140778988844)	(50, 0.0021859774480520017)	(55, 0.0007912140351149248)	(60, 0.0013868074953717517)	(65, 0.0011832121630627585)	(70, 0.0006685228573132467)	(75, 0.001846883372409038)	(80, 0.0022556111683508517)	(85, 0.0018302263852397536)	(90, 0.0004196878505426097)	(95, 0.0009131186212758232)	(100, 0.0014348986008845962)	(105, 0.001266584738652928)	(110, 0.0008158621747710915)	(115, 0.0008619019057596204)	(120, 0.0020160045544980313)	(125, 0.0009497609475579518)	(130, 0.00213044655739055)	(135, 0.000895173429614632)	(140, 0.00018986355438711867)	(145, 0.000249215995522057)	(150, 0.0)
Nac_oxy_2_2	(1, 1.2041829559227573)	(2, 0.05948207182811033)	(3, 0.00018799919798667724)	(4, 0.0021860371858915956)	(5, 0.001709481079367228)	(6, 0.0004153470653194032)	(7, 0.003558868538631518)	(8, 0.0005465092964728989)	(9, 0.00154771432761125)	(10, 0.0008280708860157366)	(15, 0.0024597290415652234)	(20, 0.0017072867830804765)	(25, 0.0033897220406921384)	(30, 0.0005228970944474074)	(35, 0.0032007014156121135)	(40, 0.0030245841199029403)	(45, 0.002567158515189626)	(50, 0.005183430989590509)	(55, 0.003501675171645847)	(60, 0.001498592834708502)	(65, 0.002587773863116104)	(70, 0.0031742706844446766)	(75, 0.003841078009298328)	(80, 0.003284880445493107)	(85, 0.005759898373742578)	(90, 0.0030208963792776834)	(95, 0.0015550663911837756)	(100, 0.004175459346634738)	(105, 0.0020054874606631867)	(110, 0.0024699003879669165)	(115, 0.00338051313818519)	(120, 0.00141551977258309)	(125, 0.0009390520949510107)	(130, 0.0014816004838555613)	(135, 0.0007070606536878681)	(140, 0.12751283464669422)	(145, 1.0523687969199943e-05)	(150, 0.0)
Nac_oxy_3_1	(1, 0.6336396159960208)	(2, 0.0028692561106202215)	(3, 0.025525592707412375)	(4, 0.0)	(5, 0.0017819590581746637)	(6, 0.0)	(7, 0.0008068434476480924)	(8, 0.0)	(9, 0.0)	(10, 0.001152880049259734)	(15, 3.0202695901265486e-05)	(20, 0.00021832437937304054)	(25, 6.040779750753976e-06)	(30, 0.00046429633663631556)	(35, 0.0011340488358712523)	(40, 0.00035301981565823105)	(45, 0.0008494644165700984)	(50, 0.001969824006113035)	(55, 0.0007197851518225626)	(60, 0.0012837171354897088)	(65, 0.0011222948782734278)	(70, 0.0006182351617344051)	(75, 0.001646460050654749)	(80, 0.0019547046160577615)	(85, 0.0015788824786377995)	(90, 0.0003516107327725228)	(95, 0.0007284790362305091)	(100, 0.0012090081485601537)	(105, 0.0011286408804920963)	(110, 0.0007519906135048295)	(115, 0.0007723364658643217)	(120, 0.0017326755932509626)	(125, 0.0008007054706242108)	(130, 0.0018115364363072333)	(135, 0.0007170421975408614)	(140, 0.00011290868311840453)	(145, 0.00014210492127780791)	(150, 0.0)
Nac_oxy_3_2	(1, 1.13750687704599)	(2, 0.05637117456429051)	(3, 8.19787460177206e-05)	(4, 0.001954545891896181)	(5, 0.0016007428827670709)	(6, 0.00034948833828607207)	(7, 0.0029037734773645248)	(8, 0.0005781658929670822)	(9, 0.0014022680239873261)	(10, 0.0007343569774850552)	(15, 0.0022574357850774435)	(20, 0.0015228364213057488)	(25, 0.003136980505550075)	(30, 0.00045938154440268675)	(35, 0.002867846729728806)	(40, 0.002963578247793598)	(45, 0.0023024688241508845)	(50, 0.0046471982696694)	(55, 0.003346925540781891)	(60, 0.001401465294874458)	(65, 0.0024026618442791994)	(70, 0.002887252575658165)	(75, 0.003425363498441225)	(80, 0.002884418722039261)	(85, 0.005391501853484917)	(90, 0.002558868834999614)	(95, 0.0013019947314332006)	(100, 0.0035644542367169497)	(105, 0.0016336849081113275)	(110, 0.002028542014851402)	(115, 0.002792555912867102)	(120, 0.0011108542731160483)	(125, 0.0006716030977385682)	(130, 0.0010823163781180497)	(135, 0.000505711803633134)	(140, 0.12272001165580064)	(145, 6.701984696259218e-06)	(150, 0.0)
Nac_oxy_4_1	(1, 0.622244456331237)	(2, 0.002860808083858325)	(3, 0.025424730666838938)	(4, 0.0)	(5, 0.0017763187448793522)	(6, 0.0)	(7, 0.0008554377113497933)	(8, 0.0)	(9, 0.0)	(10, 0.0010863591481841091)	(15, 3.552637489758704e-05)	(20, 0.000201942010874409)	(25, 9.349554398834918e-06)	(30, 0.0004329098801497879)	(35, 0.0011286531003623771)	(40, 0.0003366887138230198)	(45, 0.0008579079442322414)	(50, 0.0019877197308063844)	(55, 0.0007379037441039077)	(60, 0.0013179222164751913)	(65, 0.0010183544468065529)	(70, 0.0006270351983073394)	(75, 0.0016890204792871367)	(80, 0.002006577883198938)	(85, 0.0016239926403001483)	(90, 0.00035231194441895006)	(95, 0.0007538848210323922)	(100, 0.0012374091171251074)	(105, 0.00101520000809622)	(110, 0.0006863792245867468)	(115, 0.00070440327864898)	(120, 0.0016678106582360245)	(125, 0.0007783941800139847)	(130, 0.0018752330211432896)	(135, 0.0007497207094437277)	(140, 0.0001285491251028598)	(145, 0.0001632040794610396)	(150, 0.0)
Nac_oxy_4_2	(1, 1.1375732223127886)	(2, 0.05659912463947157)	(3, 0.00011686307532101002)	(4, 0.0021269079708423825)	(5, 0.0014117059498778008)	(6, 0.00030851851884746643)	(7, 0.002996369251230697)	(8, 0.0005656172845536885)	(9, 0.0014958473641089281)	(10, 0.0008040179582085489)	(15, 0.0023288473649970875)	(20, 0.0016310309931146642)	(25, 0.00321709005097445)	(30, 0.0004965352752197129)	(35, 0.0029315441948433688)	(40, 0.002867228236568824)	(45, 0.002304143436510639)	(50, 0.004713485886787324)	(55, 0.0033533807662371197)	(60, 0.0013379215578106713)	(65, 0.0023619157616838805)	(70, 0.0029575483918546394)	(75, 0.0035828342961603367)	(80, 0.002981080211345864)	(85, 0.005434472211639482)	(90, 0.002694164588784242)	(95, 0.0013305647288484673)	(100, 0.0037288378166365215)	(105, 0.001728758863022752)	(110, 0.0021465124572425183)	(115, 0.003033801733231681)	(120, 0.0011968565874179837)	(125, 0.0007765562444734766)	(130, 0.0011541355836371526)	(135, 0.0005517834945751919)	(140, 0.1264563459970154)	(145, 9.965937256950514e-06)	(150, 0.0)
